Hello I am from Denmark, and one day i was having a film evening with my friends. One brought this movie with him  Russian terminator  and it was extremely awful. After watching less than half a minute we decided to fast forward only stopping at some laughable  highlights  or should i say  lowlights  in the movie. I was actually mostly surprised to find out that this film was produced here in my homeland Denmark...that must have been the biggest mistake this country ever made.	0
BlessedTex she d claimed Thomistic view of ensoulment showed church s oppositon to abortion is recent develpmnt   Benedict wasn t having it	2
Do we really need any more narcissistic garbage on the Baby Boomer generation  Technically, I am a Boomer, though at the time when all the  idealistic youths  of the  60s were reading Marx, burning their draft cards, and generally prolonging a war which destroyed tens of thousands of lives  I was still in grade school. But I remember them well, and 9 out of 10 were just moronic fools, who would believe anything as long as it was destructive. This is just another excercise in self importance from the kids who never really grew up.	0
Do we really need any more narcissistic garbage on the Baby Boomer generation  Technically, I am a Boomer, though at the time when all the  idealistic youths  of the  60s were reading Marx, burning their draft cards, and generally prolonging a war which destroyed tens of thousands of lives  I was still in grade school. But I remember them well, and 9 out of 10 were just moronic fools, who would believe anything as long as it was destructive. This is just another excercise in self importance from the kids who never really grew up.	0
SANDRAYYCNW I wish you d stayed in the PC race  save the party from basket of deplorables. I may vote liberal, for the first time ever.	2
This norwegian movie is so crap, the actors cannot act cause they seems to be reading from a book and the story is so  wannabe  hollywood..the only actor who did a ok job was Haavard Lilleheie..3 10 If you want a really good norwegian movie watch Buddy, great actors and a feelgood story 9 10	0
of spontaneity in its execution and a dearth of real poignancy	1
I think scarecrows are creepy, so it s a pity this movie doesn t make more of them. A bunch of robbers do an emergency parachute from a plane into a enormous field with scarecrows. One of them goes missing with the loot and so the rest chase him down while being set upon by inexplicably evil scarecrows. The acting is hammy and the scarecrows unimpressive  when they move . On the positive side, the director does get some suspense out of the static scarecrows. It is as Alfred Hitchcock says,  A bomb under a table goes off, and that s surprise. We know the bomb is under the table but not when it will go off, and that s suspense. 	0
as enlightening , insightful and entertaining	1
the stuff to stand tall with Pryor , Carlin and Murphy	1
bkohatl nope. Results are decided by electoral college NOT popular vote. If it was by pop vote,they would ve campaigned in only a few areas	2
When anti bush jokes get really easy to do, a show like this had better make sure it has something extra. When that something extra is kid versions of political figures making jokes about the future they don t have yet, it s just plain nonsense. Dick Cheney and George Bush are done well but Dick Cheney mutters mostly. There s also Condoleeza Rice who has a crush on Bush for some reason and Donald Rumsfeld who isn t really that similar to Donald Rumsfeld at all. The democratic characters rarely give their names so it s a mystery as to who could be who aside from Barack Obama and Hilary Clinton. The episodes have coherent stories but that s not nearly enough to keep this from sinking.	0
adamhousley I m a venezuelan who has survived Chavez, now Maduro   and I can t believe the love and praise I ve read tonight for Castro	1
Confessions is n t always coherent , but it  s sharply comic and surprisingly touching , so hold the gong .	1
This has the absolute worst performance from Robert Duval who sounds just like William Buckley throughout the entire film. His hammy melodramatic acting takes away from any dramatic interest. I m not sure if this was deliberate scene stealing or inadvertent but it s the only thing I can recall from a truly forgettable film. This picture should be shown in every amateur acting class of an example of what not to do. Thank God, Duvall went on to bigger and better things and stopped trying to effect a cultured accent. He is a good character actor but that s about it. Klaus is so much better. His performance is muted and noteworthy.	0
ezlusztig  RandyEBarnett Actually your popular vote doesn t count at all. Only your EC votes count. Just like every other state.	2
One of the many vigilante epics that flooded the market by the mid 80s. The routine plot has echoes of  The Magnificent Seven   believe it or not , the action scenes are lamely handled and the special effects are non existent. You COULD do worse....but the film is still just a waste of time.   1 2 	0
GilmoreGirlsTop4 Luke, Lorelai, Jess, Lane	1
hiattf  JesseFFerguson  washingtonpost and vacationing with Putin s girlfriend, literally	2
is best when illustrating the demons bedevilling the modern masculine journey .	1
GOOGL patents turn signal detector for autonomous cars.	1
poignant by the incessant use of cell phones	2
The modern Egyptian town of El Araba El Madfuna   al  arab al madfan, also known as Arabet Abydos  is located south of Sohag. In this town is located the ancient Egyptian town of Abydos. It is usually visited by tourist in order to see the ruins of the temples of Seti I and Ramesses II. although a large number of other ruins and monuments are located nearby, ranging from Pre Dynastic through early Christian to modern Arabic times.	2
you may be surprised at the variety of tones in Spielberg  s work .	1
it s a bob dylan kinda night     	1
shines on all the characters , as the direction is intelligently accomplished .	1
is born out of an engaging storyline , which also is n t embarrassed to make you reach for the tissues	1
So many more pipelines, tar sands, fracking that must be stopped from poisoning precious water sources. One down, 957 to go.	0
MOVES Ex shadow minister McClymont joins Aberdeen Asset Management	2
so my grandpa got medical marijuana and I think he s addicted   	1
works because its flabbergasting principals , 14 year old Robert MacNaughton , 6 year old Drew Barrymore and 10 year old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .	2
muchpolitic  ChazieMeyer  WeWantCloneWars when you raise minimum wage that 15  becomes today s 5 , like how today s 5  is yesteryear s 1 	2
The 1800 Club is a skyscraper in Miami, Florida. It is currently under construction, although almost complete. It is topped off, meaning it has reached its final height. It is expected to open sometime in 2007. Located in the Midtown Miami area, it is part of that area s current building boom. The building is 423 ft  141 m  tall, and contains 40 floors. Floors 1 5 will be occupied by retail, while floors 6 40 will be residential condominiums and apartments. The building is located at the corner of North Bayshore Drive and Northeast 18th Street. It was awarded the SARA Design Award in 2002 for its exterior architectural appeal.	2
my proxy has persona 5 premium edition up for preorder the margin is about the same w  artbook price...	2
that ... the air conditioning in the theater	2
Robert E. Cochran  1810  1836 , died at the Battle of the Alamo	2
by false sentiment or sharp , overmanipulative Hollywood practices	0
Muccino seems to be exploring the idea of why human beings long for what they do n t have , and how this gets us in trouble .	1
Medical marijuana is legal in majority of America, yet veterans get no guidance thanks to VA policy    https   t.co GVcMHzB4ql	0
25  DISCOUNT  Only 5 seats left in  project  management professional prep exam  pmp in  Tripoli  Libyahttps   t.co 8Df9k1iQhm	2
Hy Pyke is an United States character actor born in Los Angeles, California on the 2 December, 1935, the son of vaudevillian David Pyke and his wife Pauline. Pyke majored in theatre at the UCLA in the 60 s, appearing in numerous student films, including one for Ray Manzarek, keyboard player of The Doors, called Induction  1965 , which also featured The Doors vocalist Jim Morrison in a brief role. During that time period, Pyke was also associated with Del Close.	2
an imaginative teacher of emotional intelligence in this engaging film about two men who discover what William James once called   the gift of tears	1
Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...	0
Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...	0
Are you prepared for the latest craze  https   t.co DRgqfT8kXI  Hatchimals  blackfriday https   t.co bEQNMjlQGp	2
Flashback Friday 5 years ago Nov 2011 Disneys Beauty and the Beast  GlasgowKings  FlashbackFriday  BeautyAndTheBeast https   t.co UlyM9PjE0M	2
Walter Gresham Andrews  July 16, 1889   March 5, 1949  was a Republican member of the United States House of Representatives from New York.	2
Heard Netflix is raising its prices. It s all good it s worth it though	2
Oak Leaf is a town in Ellis County, Texas  USA . The population was 1,209 at the 2000 census.	2
1D One Direction 22 inch Two Tone Teddy Bear with Varsity Jacket  https   t.co MGWrLcEABD  1d  onedirection https   t.co X6wdIUoPsT	1
